Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 400 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;400;16;Чугун;170;По запросу;142740;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 450 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;450;16;Чугун;180;По запросу;281450;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 500 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;500;16;Чугун;350;По запросу;338000;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 600 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч39р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Ручной;600;16;Чугун;607,2;По запросу;351000;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая с редуктором 30ч539р DN 700 PN 1,0 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч539р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;700;10;Чугун;862,4;По запросу;674350;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая с редуктором 30ч539р DN 800 PN 1,0 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч539р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;800;10;Чугун;1126,4;По запросу;1303090;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая с редуктором 30ч539р DN 1000 PN 1,0 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч539р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1000;10;Чугун;2580;По запросу;2083030;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая с редуктором 30ч539р DN 1200 PN 1,0 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч539р ;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Редукторный;1200;10;Чугун;3480;По запросу;2550490;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая под электропривод 30ч939р DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч939р;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;50;16;Чугун;8,8;По запросу;11440;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая под электропривод 30ч939р DN 65 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч939р;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;65;16;Чугун;11,5;По запросу;17420;Под заказ
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая под электропривод 30ч939р DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;30ч939р;вода по СанПиН 2.1.4.1074;От -15 до +120;От -15 до +40;У3;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С невыдвижным шпинделем;Фланцевое;Под электропривод;80;16;Чугун;13,2;По запросу;14040;Под заказ
