Наименование;Раздел;Таблица фигур;Рабочая среда;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, с обязательным проведением профилактического осмотра и ремонта раз в два года, лет;Назначенный ресурс циклов за 4 года, циклов;Гарантия;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Tmax среды, ºC;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка запорная под приварку с электроприводом (854-Э-0) 881-250-Э DN 250 PN 25,0 МПа Т545 °С, корпус ст. 15Х1М1ФЛ;Энергетическая арматура;881-250-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;250;545;Жаропрочная перлитная сталь;4500;По запросу;4322860;Под заказ
Задвижка запорная под приварку с электроприводом (SA16.2/GK40.2-F40-380/50/3-22) 881-250-ЭД DN 250 PN 25,0 МПа Т545 °С, корпус ст. 15Х1М1ФЛ;Энергетическая арматура;881-250-ЭД;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;250;545;Жаропрочная перлитная сталь;4182;По запросу;4426090;Под заказ
Задвижка запорная под приварку с коническим редуктором 882-250-КЗ DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-КЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;235;250;Конструкционная низколегированная сталь;1028;По запросу;2242500;Под заказ
Задвижка запорная под приварку с коническим редуктором 882-250-КЗП DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-КЗП;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;235;250;Конструкционная низколегированная сталь;1028;По запросу;2242500;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 882-250-ЦЗ DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-ЦЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;235;250;Конструкционная низколегированная сталь;1056;По запросу;2273700;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 882-250-ЦЗП DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-ЦЗП;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;235;250;Конструкционная низколегированная сталь;1056;По запросу;2273700;Под заказ
Задвижка запорная под приварку с электроприводом (795-Э-0) 882-250-Э DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-Э;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;235;250;Конструкционная низколегированная сталь;1111;По запросу;2513340;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Г.2500/24 У1) 882-250-ЭГ DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-ЭГ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;235;250;Конструкционная низколегированная сталь;1170;По запросу;2443860;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Г-11 У2) 882-250-ЭМ DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-ЭМ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;235;250;Конструкционная низколегированная сталь;1140;По запросу;2458260;Под заказ
Задвижка запорная под приварку с электроприводом (ГИЮМ.303344.001-06) 882-250-ЭН DN 250 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-250-ЭН;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;235;250;Конструкционная низколегированная сталь;1180;По запросу;2637000;Под заказ
Задвижка запорная под приварку с коническим редуктором 883-250-КЗ DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-КЗ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;560;Жаропрочная перлитная сталь;1995;По запросу;3833080;Под заказ
Задвижка запорная под приварку с коническим редуктором 883-250-КЗ-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-КЗ-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;545;Жаропрочная перлитная сталь;1995;По запросу;3833080;Под заказ
Задвижка запорная под приварку с коническим редуктором 883-250-КЗ-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-КЗ-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;98;540;Жаропрочная перлитная сталь;1976;По запросу;3833080;Под заказ
Задвижка запорная под приварку с коническим редуктором 883-250-КЗП-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-КЗП-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;545;Жаропрочная перлитная сталь;1995;По запросу;3833080;Под заказ
Задвижка запорная под приварку с коническим редуктором 883-250-КЗП-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-КЗП-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;98;540;Жаропрочная перлитная сталь;1976;По запросу;3833080;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 883-250-ЦЗ DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЦЗ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;560;Жаропрочная перлитная сталь;2010;По запросу;3914040;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 883-250-ЦЗ-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЦЗ-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;545;Жаропрочная перлитная сталь;2010;По запросу;3914040;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 883-250-ЦЗ-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЦЗ-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;98;540;Жаропрочная перлитная сталь;1990;По запросу;3914040;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 883-250-ЦЗП-01 DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЦЗП-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;137;560;Жаропрочная перлитная сталь;2010;По запросу;3914040;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 883-250-ЦЗП-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЦЗП-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;98;540;Жаропрочная перлитная сталь;1990;По запросу;3914040;Под заказ
Задвижка запорная под приварку с электроприводом (797-Э-0) 883-250-Э DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;560;Жаропрочная перлитная сталь;2195;По запросу;4223380;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Д.5000/12 У1) 883-250-ЭГ DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭГ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;560;Жаропрочная перлитная сталь;2120;По запросу;3862090;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Д-17 У2) 883-250-ЭМ DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭМ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;560;Жаропрочная перлитная сталь;2166;По запросу;3814350;Под заказ
Задвижка запорная под приварку с электроприводом (AUMA SA16.2/GK30.2-F30-380/50/3-22) 883-250-ЭД DN 250 PN 13,7 МПа Т560 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;883-250-ЭД;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;560;Жаропрочная перлитная сталь;2123;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (797-Э-0) 883-250-Э-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-Э-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;545;Жаропрочная перлитная сталь;2195;По запросу;4223380;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Д.5000/12 У1) 883-250-ЭГ-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭГ-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;545;Жаропрочная перлитная сталь;2120;По запросу;3862090;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Д-17 У2) 883-250-ЭМ-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭМ-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;545;Жаропрочная перлитная сталь;2166;По запросу;3814350;Под заказ
Задвижка запорная под приварку с электроприводом (AUMA SA16.2/GK30.2-F30-380/50/3-22) 883-250-ЭД-01 DN 250 PN 13,7 МПа Т545 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;883-250-ЭД-01;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;137;545;Жаропрочная перлитная сталь;2123;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (797-Э-0) 883-250-Э-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-Э-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;98;540;Жаропрочная перлитная сталь;2195;По запросу;4223380;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Д.5000/12 У1) 883-250-ЭГ-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭГ-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;98;540;Жаропрочная перлитная сталь;2100;По запросу;3862090;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Д-17 У2) 883-250-ЭМ-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;883-250-ЭМ-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;98;540;Жаропрочная перлитная сталь;2146;По запросу;3814350;Под заказ
Задвижка запорная под приварку с электроприводом (AUMA SA16.2/GK30.2-F30-380/50/3-22) 883-250-ЭД-02 DN 250 PN 9,8 МПа Т540 °С, корпус ст. 15Х1М1Ф ;Энергетическая арматура;883-250-ЭД-02;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;98;540;Жаропрочная перлитная сталь;2103;По запросу;0;Под заказ
Задвижка запорная под приварку ручная 884-250-Г DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-Г;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;284;510;Жаропрочная перлитная сталь;1262;По запросу;0;Под заказ
Задвижка запорная под приварку ручная 884-250-ГП DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-ГП;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;250;284;510;Жаропрочная перлитная сталь;1262;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (795-Э-0-V) 884-250-Э DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;284;510;Жаропрочная перлитная сталь;1400;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Г.2500/24 У1) 884-250-ЭГ DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-ЭГ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;284;510;Жаропрочная перлитная сталь;1433;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Г-11 У2) 884-250-ЭМ DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-ЭМ;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;284;510;Жаропрочная перлитная сталь;1413;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (AUMA SA14.6/GK25.2-F25-380/50/3-22) 884-250-ЭД DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-ЭД;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;284;510;Жаропрочная перлитная сталь;1386;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (ГИЮМ.303344.001-06) 884-250-ЭН DN 250 PN 28,4 МПа Т510 °С, корпус ст. 15Х1М1Ф;Энергетическая арматура;884-250-ЭН;Пар;От -60 до +40;УХЛ;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;250;284;510;Жаропрочная перлитная сталь;1353;По запросу;0;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 2с-26-4 DN 300 PN 6,3 МПа Т425 °С, корпус ст. 25Л;Энергетическая арматура;2с-26-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;425;Углеродистая сталь;434;По запросу;733590;Под заказ
Задвижка запорная под приварку с коническим редуктором 2с-27-4 DN 300 PN 6,3 МПа Т425 °С, корпус ст. 25Л;Энергетическая арматура;2с-27-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;425;Углеродистая сталь;419;По запросу;725010;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 2с-28-4 DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-28-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;450;Углеродистая сталь;434;По запросу;733590;Под заказ
Задвижка запорная под приварку с коническим редуктором 2с-29-4 DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-29-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;450;Углеродистая сталь;419;По запросу;725010;Под заказ
Задвижка запорная под приварку с коническим редуктором 1511-300-КЗ DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-КЗ;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;100;450;Конструкционная низколегированная сталь;585;По запросу;1867890;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 1511-300-ЦЗ DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-ЦЗ;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;100;450;Конструкционная низколегированная сталь;613;По запросу;1867890;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Г.2500/24 У1) 1511-300-ЭГ DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-ЭГ;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Конструкционная низколегированная сталь;695;По запросу;2161530;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Г-11  У2) 1511-300-ЭМ DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-ЭМ;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Конструкционная низколегированная сталь;605;По запросу;2174010;Под заказ
Задвижка запорная под приварку с электроприводом (ГИЮМ.303344.001-06) 1511-300-ЭН DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-ЭН;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Конструкционная низколегированная сталь;600;По запросу;2267460;Под заказ
Задвижка запорная под приварку с электроприводом (ПЭМ-В34-1000-25-36М У2) 1511-300-ЭЧ DN 300 PN 10,0 МПа Т450 °С, корпус ст. 15ГС;Энергетическая арматура;1511-300-ЭЧ;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Конструкционная низколегированная сталь;587;По запросу;2144520;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 2с-26-4Н DN 300 PN 6,3 МПа Т425 °С, корпус ст. 25Л;Энергетическая арматура;2с-26-4Н;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;425;Углеродистая сталь;425;По запросу;0;Под заказ
Задвижка запорная под приварку с коническим редуктором 2с-27-4Н DN 300 PN 6,3 МПа Т425 °С, корпус ст. 25Л;Энергетическая арматура;2с-27-4Н;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;63;425;Углеродистая сталь;411;По запросу;0;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 2с-28-4Н DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-28-4Н;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;100;450;Углеродистая сталь;425;По запросу;0;Под заказ
Задвижка запорная под приварку с коническим редуктором 2с-29-4Н DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-29-4Н;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;100;450;Углеродистая сталь;411;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Г.2500/24 У1) 2с-ЭГ-4 DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-ЭГ-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Углеродистая сталь;575;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Г-11  У2) 2с-ЭМ-4 DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-ЭМ-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Углеродистая сталь;545;По запросу;0;Под заказ
Задвижка запорная под приварку с электроприводом (ГИЮМ.303344.001-06) 2с-ЭН-4 DN 300 PN 10,0 МПа Т450 °С, корпус ст. 25Л;Энергетическая арматура;2с-ЭН-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;100;450;Углеродистая сталь;475;По запросу;0;Под заказ
Задвижка запорная под приварку с коническим редуктором 880-300-КЗ DN 300 PN 37,3 МПа Т280 °С, корпус ст. 15ГС;Энергетическая арматура;880-300-КЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;373;280;Конструкционная низколегированная сталь;2210;По запросу;3426020;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 880-300-ЦЗ DN 300 PN 37,3 МПа Т280 °С, корпус ст. 15ГС;Энергетическая арматура;880-300-ЦЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;373;280;Конструкционная низколегированная сталь;2232;По запросу;3426020;Под заказ
Задвижка запорная под приварку с электроприводом (797-Э-0) 880-300-Э DN 300 PN 37,3 МПа Т280 °С, корпус ст. 15ГС;Энергетическая арматура;880-300-Э;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;373;280;Конструкционная низколегированная сталь;2372;По запросу;4142450;Под заказ
Задвижка запорная под приварку с электроприводом (ГЗ-Д.5000/12 У1) 880-300-ЭГ DN 300 PN 37,3 МПа Т280 °С, корпус ст. 15ГС;Энергетическая арматура;880-300-ЭГ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;373;280;Конструкционная низколегированная сталь;2359;По запросу;3841370;Под заказ
Задвижка запорная под приварку с электроприводом (Н-Д-17 У2) 880-300-ЭМ DN 300 PN 37,3 МПа Т280 °С, корпус ст. 15ГС;Энергетическая арматура;880-300-ЭМ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;300;373;280;Конструкционная низколегированная сталь;2342;По запросу;3801590;Под заказ
Задвижка запорная под приварку с коническим редуктором 882-300-КЗ DN 300 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-300-КЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;235;250;Конструкционная низколегированная сталь;1488;По запросу;3218410;Под заказ
Задвижка запорная под приварку с цилиндрическим редуктором 882-300-ЦЗ DN 300 PN 23,5 МПа Т250 °С, корпус ст. 15ГС;Энергетическая арматура;882-300-ЦЗ;Вода;От -60 до +40;ХЛ1;В;ОТК;30;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;300;235;250;Конструкционная низколегированная сталь;1509;По запросу;3218410;Под заказ
