Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;50;6;Чугун;0;Под заказ;2000013;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;80;6;Чугун;0;Под заказ;2000014;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;100;6;Чугун;0;Под заказ;2000015;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 125 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;125;6;Чугун;0;Под заказ;2000016;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 150 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;150;6;Чугун;0;Под заказ;2000017;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 200 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;200;6;Чугун;0;Под заказ;2000018;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 250 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;250;6;Чугун;0;Под заказ;2000019;0.png;-
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 300 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч6п;-;Фланцевое;Ручной;300;6;Чугун;0;Под заказ;2000020;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;50;6;Чугун;0;Под заказ;2000021;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;80;6;Чугун;0;Под заказ;2000022;0.png;-
