Наименование;Раздел;Таблица фигур;Короткое наименование;Состав;"Пределы давления
настройки, Рн, кгс/см2 (№ пружины)";Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN/DN1, мм;Давление PN/PN1, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Блок предохранительных клапанов БПУ Р 50-63 50с04нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-63 17с16нж DN 50/80 PN 6,3/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-63 23с20нж DN 50 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-40 23с17нж DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с04нж1;Блок предохранительных клапанов БПУ Р 50-63 У1 50с04нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-63 17с16нж DN 50 (исп. ?) / 80 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 50-63 23с20нж DN 50 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-40 23с17нж DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"20…34 (55); 30…54 (56); 50…63 (57)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;63/40;Углеродистая сталь;275;По запросу;728240;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-63 50с08нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-63 17с89нж DN 80/100 PN 6,3/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-63 23с20нж DN 80 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-40 23с17нж DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с08нж1;Блок предохранительных клапанов БПУ Р 80-63 У1 50с08нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-63 17с89нж DN 80 (исп. ?) / 100 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 80-63 23с20нж DN 80 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-40 23с17нж DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"25…35 (38); 35…44 (37); 44…50 (39); 50…63 (40)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;63/40;Углеродистая сталь;380;По запросу;911610;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-63 50с12нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-63 17с16нж DN 100/150 PN 6,3/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-63 23с20нж DN 100 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-40 23с17нж DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с12нж2;Блок предохранительных клапанов БПУ Р 100-63 У1 50с12нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-63 17с16нж DN 100 (исп. ?) / 150 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа У, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 100-63 23с20нж DN 100 PN 6,3 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-40 23с17нж DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"25…40 (77); 40…55 (80); 55…63 (81)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;63/40;Углеродистая сталь;745;По запросу;1465200;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-160 50с05нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-160 17с8нж DN 50/80 PN 16,0/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-160 23с19нж DN 50 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-40 23с17нж DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с05нж1;Блок предохранительных клапанов БПУ Р 50-160 У1 50с05нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-160 17с8нж DN 50 (исп. J) / 80 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 50-160 23с19нж DN 50 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-40 23с17нж DN 80 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"53…90 (58); 85…124 (59); 124…141 (60); 140…160 (61)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;160/40;Углеродистая сталь;300;По запросу;773170;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-160 50с09нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-160 17с90нж DN 80/100 PN 16,0/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-160 23с19нж DN 80 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-40 23с17нж DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с09нж1;Блок предохранительных клапанов БПУ Р 80-160 У1 50с09нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-160 17с90нж DN 80 (исп. J) / 100 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 80-160 23с19нж DN 80 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-40 23с17нж DN 100 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"50…63 (40); 63…100 (41); 100…135 (42); 135…160 (43)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;160/40;Углеродистая сталь;405;По запросу;992050;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-160 50с13нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-160 17с8нж DN 100/150 PN 16,0/4,0 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-160 23с19нж DN 100 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-40 23с17нж DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с13нж2;Блок предохранительных клапанов БПУ Р 100-160 У1 50с13нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-160 17с8нж DN 100 (исп. J) / 150 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 100-160 23с19нж DN 100 PN 16,0 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-40 23с17нж DN 150 PN 4,0 МПа У1, корпус ст. 20Л - 1 шт.";"63…100 (80); 100…125 (81); 110…145 (82); 135…160 (83)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;160/40;Углеродистая сталь;780;По запросу;1685070;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 50-16 50с02нж в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4 50-16 17с7нж DN 50/80 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-16-01 23с16нж1 DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-6 23с18нж DN 80 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с02нж;Блок предохранительных клапанов БПУ 50-16 У1 50с02нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 50-16 17с7нж DN 50 (исп. В) / 80 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 50-16-01 23с16нж1 DN 50 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 80-6 23с18нж DN 80 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…16 (14)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;16/6;Углеродистая сталь;154;По запросу;396630;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 80-16 50с06нж в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4 80-16 17с7нж DN 80/100 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-16-01 23с16нж1 DN80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-6 23с18нж DN 100 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с06нж;Блок предохранительных клапанов БПУ 80-16 У1 50с06нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 80-16 17с7нж DN 80 (исп. В) / 100 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 80-16-01 23с16нж1 DN80 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 100-6 23с18нж DN 100 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…16 (34)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;16/6;Углеродистая сталь;210;По запросу;480580;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 100-16 50с10нж в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5 100-16 17с7нж DN 100/150 PN 1,6/1,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-16-01 23с16нж1 DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с10нж;Блок предохранительных клапанов БПУ 100-16 У1 50с10нж;"клапан предохранительный пружинный сальниковый фланцевый СППК5 100-16 17с7нж DN 100 (исп. В) / 150 (исп. В) PN 1,6 (вход) / 1,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 100-16-01 23с16нж1 DN 100 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 150-16 23с16нж DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1 (50); 0,8…1,6 (51); 1,5…3 (52); 2,5…4,5 (53); 4,5…8,5 (54); 8…16 (55)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;16/6;Углеродистая сталь;380;По запросу;696090;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 150-16 50с14нж в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4 150-16 17с7нж DN 150/200 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-16-01 23с16нж1 DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-6 23с18нж DN 200 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с14нж;Блок предохранительных клапанов БПУ 150-16 У1 50с14нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 150-16 17с7нж DN 150 (исп. В) / 200 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 150-16-01 23с16нж1 DN 150 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 200-6 23с18нж DN 200 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1,5 (70); 1,5…3 (71); 3…5 (72); 5…8 (73); 8…12 (74); 12…16 (75)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;16/6;Углеродистая сталь;630;По запросу;911610;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 200-16 50с16нж в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4 200-16 17с13нж DN 200/300 PN 1,6/0,6 МПа У1, пружина № ?, Рн=? кгс/см², корпус ст. 20Л, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 300-6 23с18нж DN 300 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50с16нж;Блок предохранительных клапанов БПУ 200-16 У1 50с16нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 200-16 17с13нж DN 200 (исп. В) / 300 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа У1, корпус ст. 20Л - 2 шт.; переключающее устройство ПУ 200-16 23с16нж DN 200 PN 1,6 МПа У1, корпус ст. 20Л - 1 шт.; переключающее устройство ПУ 300-6 23с18нж DN 300 PN 0,6 МПа У1, корпус ст. 20Л - 1 шт.";"0,5…1 (72); 1…2 (73); 2…3 (74); 3…5 (75); 5…7 (76); 7…9 (77); 9…12 (78); 12…16 (79)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -40 до +450;От -40 до +45;У1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200/300;16/6;Углеродистая сталь;1091;По запросу;1944390;25-30 рабочих дней
